name,state,tier_name,mr_kq5_pq1,mr_ktop1_pq1
"Emmanuel College of Franklin Springs, GA",GA,Nonselective 4-year private,0.014061822,0.0020797539
Emory & Henry College,VA,Selective private,0.015035091,4.7707228e-5
Emory University,GA,Other elite schools (private and public),0.018005462,0.0035348041
Emporia State University,KS,Selective public,0.0073185368,4.5168307e-4
Endicott College,MA,Selective private,0.014197784,4.1222898e-5
Erskine College,SC,Selective private,0.001567531,0
Eureka College,IL,Selective private,0.018272847,3.4991108e-4
Evangel University,MO,Selective private,0.0095689874,4.6965e-5
Evergreen State College,WA,Selective public,0.0051437938,1.0708801e-5
Fairfield University,CT,Selective private,0.015773047,0.0020574734
Fairleigh Dickinson University,NJ,Selective private,0.033313226,4.1174417e-4
Fashion Institute Of Technology,NY,Selective public,0.036484793,8.1943226e-4
Faulkner University,AL,Selective private,0.0071953624,8.4555984e-5
Fayetteville State University,NC,Selective public,0.024320804,0.001009185
Felician College,NJ,Selective private,0.024379453,0
Ferris State University,MI,Selective public,0.01697208,1.8251393e-4
Ferrum College,VA,Selective private,0.016068542,1.7094622e-5
Fisher College,MA,Nonselective 4-year private,0.023498505,1.8988092e-5
Fitchburg State University,MA,Selective public,0.017469816,2.2115824e-5
Flagler College,FL,Selective private,0.015132731,5.9557995e-5
Florida Agricultural & Mechanical University,FL,Selective public,0.032663293,9.1717916e-4
Florida Atlantic University,FL,Selective public,0.03070315,0.0012003196
Florida College,FL,Nonselective 4-year private,0.010077563,0
Florida Gateway College,FL,Nonselective 4-year public,0.016626302,8.0202779e-5
Florida Gulf Coast University,FL,Selective public,0.018777234,8.2288356e-4
Florida Institute Of Technology,FL,Selective private,0.037505582,0.0030081144
Florida International University,FL,Selective public,0.052249581,0.0011722672
Florida Memorial University,FL,Selective private,0.025294451,6.935079e-5
Florida Southern College,FL,Selective private,0.01863743,1.3185811e-4
Florida State College At Jacksonville,FL,Nonselective 4-year public,0.015607346,9.7733486e-5
Florida State University,FL,Selective public,0.021649536,4.921162e-4
Fontbonne University,MO,Selective private,0.0090163993,1.1151049e-4
Fordham University,NY,Highly selective private,0.039781969,0.003079972
Fort Hays State University,KS,Selective public,0.013584882,0
Fort Lewis College,CO,Selective public,0.0085251462,3.9475836e-4
Fort Valley State University,GA,Selective public,0.028276326,0
Francis Marion University,SC,Selective public,0.014445205,6.5146131e-4
Franciscan University Of Steubenville,OH,Selective private,0.0062151663,0
Franklin & Marshall College,PA,Other elite schools (private and public),0.012550002,6.3821644e-5
Franklin College Of Indiana,IN,Selective private,0.011643652,0.0014606424
Franklin Pierce University,NH,Selective private,0.013234765,0
Franklin University,OH,Nonselective 4-year private,0.034656335,0.0026891793
Freed Hardeman University,TN,Selective private,0.014443509,0.0021831736
Fresno Pacific University,CA,Selective private,0.037159514,5.5975106e-5
Friends University,KS,Selective private,0.009742884,1.7820852e-5
Furman University,SC,Highly selective private,0.0069198092,3.7967076e-4
Gallaudet University,DC,Nonselective 4-year private,0.0057063936,1.7490549e-5
Gannon University,PA,Selective private,0.014403216,0.001964876
Gardner - Webb University,NC,Selective private,0.012200096,3.7945169e-6
Geneva College,PA,Selective private,0.012010647,2.5689278e-5
George Fox University,OR,Selective private,0.011665585,7.8236233e-5
George Mason University,VA,Selective public,0.030900523,4.5480029e-4
George Washington University,DC,Other elite schools (private and public),0.021565983,0.0012465151
Georgetown College,KY,Selective private,0.014632449,0.0010846436
Georgetown University,DC,Other elite schools (private and public),0.01945704,0.0036364838
Georgia College & State University,GA,Selective public,0.011395562,2.5142172e-5
Georgia Institute Of Technology,GA,Highly selective public,0.018577013,0.0015436449
Georgia Southern University,GA,Selective public,0.016830379,2.47085e-4
Georgia Southwestern State University,GA,Selective public,0.018960178,4.7376801e-5
Georgia State University,GA,Selective public,0.020784898,4.1543433e-4
Georgian Court University,NJ,Selective private,0.02104051,0
Gettysburg College,PA,Highly selective private,0.0081598666,0.0012412594
Glenville State College,WV,Selective public,0.013810954,0
Goldey-Beacom College,DE,Selective private,0.0081316652,0
Gonzaga University,WA,Highly selective private,0.0080217542,0
Gordon College,MA,Selective private,0.0059589026,0
Gordon State College,GA,Nonselective 4-year public,0.0097842505,0
Goshen College,IN,Selective private,0.010853255,1.4097491e-4
Goucher College,MD,Selective private,0.021792538,0.0012531995
Grace College And Theological Seminary,IN,Selective private,0.01632075,1.4111459e-4
Graceland University,IA,Selective private,0.02081232,9.9865101e-5
Grambling State University,LA,Selective public,0.046168223,8.0256257e-4
Grand Valley State University,MI,Selective public,0.0079063745,3.5015645e-4
Grand View University,IA,Selective private,0.015049594,0
Great Basin College,NV,Nonselective 4-year public,0.021709193,0
Green Mountain College,VT,Selective private,0.015690058,2.0058277e-4
Greensboro College,NC,Selective private,0.0058948286,0
Greenville College,IL,Selective private,0.014662865,8.6204825e-5
Grinnell College,IA,Highly selective private,0.014552889,0.0033151554
Guilford College,NC,Selective private,0.0084330942,4.6902351e-5
Gulf Coast State College,FL,Nonselective 4-year public,0.01816424,7.5278454e-5
Gustavus Adolphus College,MN,Highly selective private,0.0066766385,0.0011127309
Gwynedd Mercy University,PA,Selective private,0.013760934,1.4004892e-5
Hallmark College Of Technology,TX,Nonselective 4-year private,0.055862065,0
Hamilton College,NY,Other elite schools (private and public),0.023019336,0.0015902122
Hamline University,MN,Selective private,0.01494779,4.9860566e-5
Hampden Sydney College,VA,Selective private,0.0064616059,9.9743123e-4
Hampshire College,MA,Highly selective private,0.0074167168,0.0010361358
Hampton University,VA,Selective private,0.021393161,3.7638546e-4
Hannibal - Lagrange University,MO,Selective private,0.012957712,0
Hanover College,IN,Selective private,0.0042376798,1.8426722e-4
Hardin-Simmons University,TX,Selective private,0.013860577,4.822865e-4
Harding University,AR,Selective private,0.0074631837,4.2803367e-5
Harris - Stowe State University,MO,Nonselective 4-year public,0.019000696,0
Hartwick College,NY,Selective private,0.016615044,0
Harvard University,MA,Ivy Plus,0.017591679,0.0041402928
Harvey Mudd College,CA,Other elite schools (private and public),0.029232727,0.0060680341
