UNITID,INSTNM,CITY,STABBR,HIGHDEG,PREDDEG,CONTROL,HBCU,TUITFTE,AVGFACSAL,ADM_RATE,SATVR75,SATMT75,ACTCM75,COSTT4_A,NPT4_PRIV,UGDS,UG25ABV,PCTFLOAN_DCS,PCTPELL_DCS,DEBT_MDN,C100_4,RET_FT4,MD_EARN_WNE_5YR
239017,Lawrence University,Appleton,WI,3,3,2,0,16508,8558,0.7227,740,720,32,65910,22763,1411,0.0027,0.5777,0.2282,19500,0.6193,0.875,47380
239628,Ripon College,Ripon,WI,3,3,2,0,13399,7875,0.8133,NA,NA,NA,59356,21825,754,0.0074,0.7424,0.3624,19500,0.4717,0.7611,50514
239716,Saint Norbert College,De Pere,WI,4,3,2,0,19776,8626,0.8359,640,630,27,54466,25644,1784,0.0077,0.5623,0.1688,21500,0.6926,0.8185,54386
243151,University of Puerto Rico-Cayey,Cayey,PR,3,3,1,0,492,5644,0.4932,570,564,NA,15146,NA,2200,0.0352,0.0184,0.7024,5000,0.052,0.7361,29334
245652,St. John's College,Santa Fe,NM,4,3,2,0,11453,9291,0.5408,740,720,32,51688,27381,364,0.0842,0.5788,0.2962,13500,0.6269,0.7395,37812
262129,New College of Florida,Sarasota,FL,4,3,1,0,0,8847,0.7541,710,650,31,22236,NA,669,0.0554,0.1725,0.2975,12000,0.5391,0.75,42516
399911,Soka University of America,Aliso Viejo,CA,4,3,2,0,5963,12467,0.5663,660,780,NA,51096,21267,445,0.0069,0.1632,0.1908,15250,0.8462,0.9254,49045
439862,Pacific Islands University,Mangilao,GU,3,3,2,0,0,2958,0.6889,NA,NA,NA,13226,6731,68,0.5122,0.1892,1,PS,1,1,NA
440396,New Saint Andrews College,Moscow,ID,4,3,2,0,11997,4715,0.8296,680,640,31,NA,NA,226,0.0051,0,0,NA,0.6944,0.8592,NA
440794,Pillar College,Newark,NJ,4,3,2,0,18509,6806,NA,NA,NA,NA,37989,24290,378,0.6275,0.5152,0.6829,17817,0.125,1,42951
446048,Ave Maria University,Ave Maria,FL,4,3,2,0,7756,8396,0.4421,NA,NA,NA,41590,21131,1230,0.0183,0.5024,0.2754,12000,0.4323,0.7154,48117
449870,University of the West,Rosemead,CA,4,3,2,0,18392,7312,0.7826,NA,NA,NA,27218,18298,59,0.1818,0.3117,0.4416,15000,0,0.6,44644
451927,Patrick Henry College,Purcellville,VA,3,3,2,0,14384,6948,0.7585,730,710,31,NA,NA,376,0.0207,0,0,NA,0.5882,0.883,NA
454184,The King's College,New York,NY,3,3,2,0,13065,10373,0.4527,700,640,31,58199,33219,290,0.0156,0.6901,0.2451,17125,0.4938,0.7143,60151
455770,Providence Christian College,Pasadena,CA,3,3,2,0,30829,6348,0.8712,NA,NA,NA,50947,24366,136,0.0085,0.6829,0.3821,14500,0.2373,0.7714,37058
